iteration [];theta [°];theta [rad];Couple [Nm];omega [rad/s]
378;331.585057;5.787251;0.000545;82.511164
379;355.224326;6.199834;0.031419;82.516618
380;18.953605;0.330803;0.027714;82.830808
381;42.762278;0.746343;0.023238;83.107949
382;66.637523;1.163044;0.014066;83.340326
383;90.553063;1.580449;-0.000982;83.480983
384;114.465789;1.997805;0.031856;83.471160
385;138.469774;2.416753;0.027981;83.789715
386;162.553920;2.837101;0.023073;84.069528
387;186.704164;3.258602;0.014194;84.300256
388;210.895073;3.680813;-0.000557;84.442201
389;235.084387;4.102997;0.031519;84.436636
390;259.363996;4.526756;0.027436;84.751822
391;283.722203;4.951887;0.022989;85.026184
392;308.146269;5.378167;0.017101;85.256071
393;332.619324;5.805302;0.002593;85.427079
394;357.099806;6.232567;0.035333;85.453005
395;21.681509;0.378414;0.028695;85.806330
396;46.345416;0.808880;0.027878;86.093275
397;71.089187;1.240740;0.020178;86.372058
398;95.890765;1.673610;0.011762;86.573837
399;120.726037;2.107067;0.000016;86.691454
400;145.561354;2.540525;0.029196;86.691610
401;170.480312;2.975443;0.028552;86.983573
402;195.481067;3.411788;0.025255;87.269097
403;220.554171;3.849396;0.018577;87.521645
404;245.680494;4.287934;0.012020;87.707413
405;270.841251;4.727072;-0.000649;87.827610
406;296.000150;5.166177;0.035469;87.821124
407;321.260660;5.607056;0.028830;88.175816
408;346.603761;6.049377;0.028153;88.464112
409;12.027516;0.209920;0.022635;88.745645
410;37.516113;0.654780;0.015421;88.971990
411;63.048890;1.100411;0.003959;89.126204
412;88.593008;1.546240;0.031394;89.165792
413;114.227062;1.993638;0.030907;89.479728
414;139.949657;2.442582;0.027769;89.788796
415;165.751804;2.892915;0.027120;90.066484
416;191.631643;3.344603;0.020465;90.337680
417;217.570108;3.797315;0.015518;90.542325
418;243.553031;4.250802;0.006301;90.697510
419;269.554004;4.704605;0.030761;90.760516
420;295.643101;5.159946;0.035120;91.068131
421;321.832812;5.617042;0.028624;91.419335
422;348.104525;6.075570;0.028634;91.705577
423;14.458267;0.252344;0.024546;91.991916
424;40.882329;0.713531;0.019533;92.237374
425;67.362347;1.175695;0.015697;92.432701
426;93.887332;1.638643;0.006287;92.589666
427;120.430328;2.101906;-0.000500;92.652534
428;146.971891;2.565143;0.032689;92.647532
429;173.607100;3.030015;0.031609;92.974419
430;200.332863;3.496468;0.027602;93.290513
431;227.137699;3.964301;0.028450;93.566529
432;254.024039;4.433556;0.023084;93.851032
433;280.976511;4.903965;0.019574;94.081876
434;307.985059;5.375353;0.016648;94.277615
435;335.041299;5.847574;0.010377;94.444097
436;2.127269;0.037128;0.002473;94.547870
437;29.220322;0.509991;0.030437;94.572596
438;56.400571;0.984376;0.035846;94.876968
439;83.683512;1.460553;0.029886;95.235431
440;111.052070;1.938224;0.029601;95.534290
441;138.505430;2.417376;0.027966;95.830303
442;166.038906;2.897926;0.027490;96.109964
443;193.651136;3.379850;0.023010;96.384862
444;221.329284;3.862925;0.019767;96.614963
445;249.064058;4.346988;0.017860;96.812628
446;276.849999;4.831944;0.013837;96.991230
447;304.675580;5.317592;0.010190;97.129600
448;332.530353;5.803750;0.002443;97.231501
449;0.392126;0.006844;-0.000565;97.255934
450;28.252281;0.493095;0.031801;97.250288
451;56.203541;0.980937;0.035667;97.568302
452;84.256979;1.470562;0.029129;97.924974
453;112.393866;1.961643;0.033646;98.216261
454;140.627142;2.454407;0.028826;98.552725
455;168.943000;2.948612;0.028684;98.840990
456;197.341032;3.444251;0.027865;99.127832
457;225.818890;3.941283;0.027222;99.406480
458;254.374733;4.439677;0.023104;99.678695
459;282.996764;4.939225;0.023369;99.909736
460;311.685742;5.439942;0.020497;100.143424
461;340.433439;5.941684;0.018539;100.348391
462;9.234246;0.161168;0.017923;100.533783
463;38.086400;0.664733;0.016335;100.713017
464;66.985350;1.169115;0.014995;100.876365
465;95.927258;1.674246;0.011845;101.026317
466;124.903099;2.179970;0.010795;101.144769
467;153.909866;2.686234;0.006336;101.252717
468;182.934784;3.192814;0.003777;101.316078
469;211.970524;3.699584;0.001506;101.353851
470;241.010578;4.206428;0.000447;101.368912
471;270.051912;4.713295;-0.001776;101.373379
472;299.088157;5.220073;0.033015;101.355615
473;328.218983;5.728502;0.031837;101.685765
474;357.441014;6.238523;0.035296;102.004133
475;26.764162;0.467123;0.033600;102.357093
476;56.183565;0.980588;0.035649;102.693092
477;85.705095;1.495836;0.032902;103.049579
478;115.320881;2.012729;0.031382;103.378594
479;145.026568;2.531191;0.029616;103.692409
480;174.817098;3.051134;0.031650;103.988567
